debito;credito;data;grupo;subgrupo;valor
;;30/06/2025;Custos;Vale alimentação ;-458,5
;;30/06/2025;Custos;Insumos de produção/Estoque ;-193,9
;;30/06/2025;Custos;Insumos de produção/Estoque ;-833
;;30/06/2025;Despesas Administrativas;Serviços de terceiros ;-525
;;30/06/2025;Custos;Insumos de produção/Estoque ;-388,33
;;30/06/2025;Despesas Administrativas;Serviços de terceiros ;-1199,66
;;30/06/2025;Custos;Insumos de produção/Estoque ;-1181,32
;;30/06/2025;Custos;Insumos de produção/Estoque ;-366,14
;;30/06/2025;Custos;Insumos de produção/Estoque ;-1345,11
;;30/06/2025;Custos;Insumos de produção/Estoque ;-297
;;30/06/2025;Custos;Insumos de produção/Estoque ;-1603,37
;;30/06/2025;Custos;Insumos de produção/Estoque ;-421,98
;;30/06/2025;Custos;Pró-labore ;-1780
;;30/06/2025;Parcelamentos e Dívidas;Parcelamento do simples nacional ;-5741,26
;;30/06/2025;Custos;Aluguel de máquinas e equipamentos ;-3200
;;30/06/2025;Impostos sobre Vendas e sobre Serviços;Parcelamento do Simples Nacional ;-914,29
;;27/06/2025;Custos;Vale alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas com Salários e Encargos;Rescisões ;-2117,96
;;27/06/2025;Custos;Insumos de produção/Estoque ;-1318,5
;;27/06/2025;Custos;Vale alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Custos;Vale alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Despesas Administrativas;Vale-alimentação ;-350
;;27/06/2025;Custos;Insumos de produção/Estoque ;-954,12
;;27/06/2025;Custos;Vale alimentação ;-350
;;27/06/2025;Bens Imobilizados da Empresa;Imobilizado ;-2499,67
;;26/06/2025;Custos;Insumos de produção/Estoque ;-7157,1
;;26/06/2025;Bens Imobilizados da Empresa;Imobilizado ;-5115,72
;;26/06/2025;Custos;Insumos de produção/Estoque ;-531,26
;;26/06/2025;Custos;Insumos de produção/Estoque ;-396,25
;;25/06/2025;Despesas Financeiras;Tarifas bancárias ;-25,44
;;25/06/2025;Custos;Insumos de produção/Estoque ;-204
;;25/06/2025;Despesas Administrativas;Serviços de terceiros ;-3875
;;24/06/2025;Despesas Administrativas;Transportadora/coleta/entrega ;-1383,8
;;24/06/2025;Custos;Insumos de produção/Estoque ;-627,97
;;24/06/2025;Despesas Administrativas;Software/Licença de uso ;-52,19
;;24/06/2025;Custos;Insumos de produção/Estoque ;-185,41
;;24/06/2025;Custos;Insumos de produção/Estoque ;-170,61
