Débito;Crédito;grupo;subgrupo;Valor
362;;Despesas administrativas;Serviços de terceiros;-2500,0
;432;Receitas/despesas financeiras;Rendimentos sobre aplicações financeiras;0,15
;504;Receitas ;Vendas de próteses;1276,0
187;;Custos;Salários e ordenados;-1538,77
187;;Custos;Salários e ordenados;-1538,77
187;;Custos;Salários e ordenados;-1660,77
187;;Custos;Salários e ordenados;-1701,72
152;;Atividades de financiamentos;Pagamento de empréstimo bancário (principal);-6668,94
506;;Custos;Matéria-prima;-603,92
187;;Despesas administrativas;Salários e ordenados;-1797,27
187;;Custos;Salários e ordenados;-1538,77
187;;Despesas administrativas;Salários e ordenados;-1766,72
187;;Despesas administrativas;Salários e ordenados;-1701,72
187;;Despesas administrativas;Salários e ordenados;-1576,72
187;;Custos;Salários e ordenados;-1797,27
187;;Custos;Salários e ordenados;-1538,77
187;;Despesas comerciais;Salários e ordenados;-2110,54
506;;Custos;Matéria-prima;-598,67
506;;Custos;Matéria-prima;-627,97
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,4
;504;Receitas ;Vendas de próteses;1432,45
;504;Receitas ;Vendas de próteses;1432,45
;504;Receitas ;Vendas de próteses;1463,13
;504;Receitas ;Vendas de próteses;2147,0
;504;Receitas ;Vendas de próteses;1741,5
;504;Receitas ;Vendas de próteses;5020,0
;504;Receitas ;Vendas de próteses;563,62
;504;Receitas ;Vendas de próteses;5847,3
188;;Custos;Pró-labores;-1780,0
188;;Despesas administrativas;Pró-labores;-1780,0
358;;Despesas administrativas;Seguros;-290,53
548;;Atividades de financiamentos;Antecipação de lucros ou dividendos;-28220,0
548;;Atividades de financiamentos;Antecipação de lucros ou dividendos;-28220,0
187;;Despesas comerciais;Salários e ordenados;-2511,9
737;;Despesas comerciais;Auxílio-alimentação e refeição;-318,0
738;;Despesas comerciais;Auxílio-transporte e combustível;-945,0
737;;Despesas comerciais;Auxílio-alimentação e refeição;-396,0
738;;Despesas comerciais;Auxílio-transporte e combustível;-990,0
187;;Despesas administrativas;Salários e ordenados;-1469,15
354;;Despesas administrativas;Energia elétrica;-1676,65
782;;Despesas administrativas;Premiações;-152,73
782;;Custos;Premiações;-338,28
782;;Despesas administrativas;Premiações;-500,0
187;;Custos;Salários e ordenados;-1538,77
782;;Custos;Premiações;-2992,16
782;;Custos;Premiações;-11971,23
782;;Custos;Premiações;-1339,23
782;;Custos;Premiações;-13881,23
