debito;credito;data;grupo;subgrupo;valor
;;01/07/2025;;;
;;01/07/2025;;CONTABILIDADE;-1471,68
;;01/07/2025;;FRETE / MOTOBOY;-180
;;01/07/2025;;TAXAS DIVERSAS;-26,67
;;01/07/2025;;IMP SOBRE VENDA;-14216,94
;;01/07/2025;;IMP SOBRE VENDA;14216,94
;;01/07/2025;;;4900
;;01/07/2025;;;140
;;01/07/2025;;TAXAS DIVERSAS;-50,61
;;01/07/2025;;TAXAS DIVERSAS;-0,06
;;02/07/2025;;INSUM DE PRODUÇ;-236,84
;;02/07/2025;;INSUM DE PRODUÇ;-636,35
;;02/07/2025;;INSUM DE PRODUÇ;-254,71
;;02/07/2025;;INSUM DE PRODUÇ;-203,89
;;02/07/2025;;PROLABORE;-3000
;;02/07/2025;;;-200
;;02/07/2025;;FRETE / MOTOBOY;-256
;;02/07/2025;;INSUM DE PRODUÇ;-314,68
;;02/07/2025;;INSUM DE PRODUÇ;-708,8
;;02/07/2025;;INSUM DE PRODUÇ;-438,48
;;02/07/2025;;INSUM DE PRODUÇ;-530,04
;;02/07/2025;;FRETE / MOTOBOY;-159,97
;;02/07/2025;;;5223,6
;;02/07/2025;;;414
;;02/07/2025;;;1080
;;02/07/2025;;;380
;;02/07/2025;;;-5000
;;02/07/2025;;;-1100
;;02/07/2025;;ALUGUEL;-220
;;02/07/2025;;;3041
;;02/07/2025;;;10000
;;03/07/2025;;;684
;;03/07/2025;;;1238,4
;;03/07/2025;;;4088,07
;;03/07/2025;;;4297,5
;;03/07/2025;;;1483,2
;;04/07/2025;;FOLHA DE PGTO;-400
;;04/07/2025;;INSUM DE PRODUÇ;-532,27
;;04/07/2025;;;972
;;04/07/2025;;;5428,8
;;04/07/2025;;;84,32
;;04/07/2025;;;88,55
;;04/07/2025;;FOLHA DE PGTO;-1459
;;04/07/2025;;;567
;;04/07/2025;;FOLHA DE PGTO;-1710
;;04/07/2025;;FOLHA DE PGTO;-428
;;04/07/2025;;FOLHA DE PGTO;-1836
;;04/07/2025;;FOLHA DE PGTO;-2212
;;04/07/2025;;FOLHA DE PGTO;-3178
;;04/07/2025;;FOLHA DE PGTO;-3029
;;04/07/2025;;FRETE / MOTOBOY;-1450
;;04/07/2025;;TAXAS DIVERSAS;-137,48
;;04/07/2025;;FOLHA DE PGTO;-1500
;;04/07/2025;;;656,1
;;06/07/2025;;;2420,5
;;07/07/2025;;;1100
;;07/07/2025;;;324
;;07/07/2025;;;5568
;;07/07/2025;;;360
;;07/07/2025;;CONTA ENERGIA;-126,76
;;07/07/2025;;CONTA ENERGIA;-76,17
;;07/07/2025;;CONTA ENERGIA;-224,79
;;07/07/2025;;CONTA ENERGIA;-94,49
;;07/07/2025;;INSUM DE PRODUÇ;-618,58
;;07/07/2025;;INSUM DE PRODUÇ;-488,98
;;07/07/2025;;INSUM DE PRODUÇ;-307,13
;;07/07/2025;;INSUM DE PRODUÇ;-239,26
;;07/07/2025;;INSUM DE PRODUÇ;-677,8
;;07/07/2025;;INSUM DE PRODUÇ;-478,1
;;07/07/2025;;INSUM DE PRODUÇ;-62,1
;;07/07/2025;;INVESTIMENTO;-4677,14
;;07/07/2025;;INSUM DE PRODUÇ;-195,51
;;07/07/2025;;INSUM DE PRODUÇ;-328,56
;;07/07/2025;;INSUM DE PRODUÇ;-175,16
;;07/07/2025;;INSUM DE PRODUÇ;-507,46
;;07/07/2025;;INSUM DE PRODUÇ;-184,12
;;07/07/2025;;INSUM DE PRODUÇ;-387,5
;;07/07/2025;;INSUM DE PRODUÇ;-198,54
;;07/07/2025;;INSUM DE PRODUÇ;-254,39
;;07/07/2025;;FOLHA DE PGTO;-165,16
;;07/07/2025;;INSUM DE PRODUÇ;-231,83
;;07/07/2025;;INSUM DE PRODUÇ;-522,7
;;07/07/2025;;INSUM DE PRODUÇ;-317,69
;;07/07/2025;;INSUM DE PRODUÇ;-637,67
;;07/07/2025;;INSUM DE PRODUÇ;-446,55
;;07/07/2025;;ALUGUEL;-800
;;07/07/2025;;MANUT EQUIP;-300
;;07/07/2025;;FOLHA DE PGTO;-1000
;;07/07/2025;;FOLHA DE PGTO;-1000
;;07/07/2025;;;3894,21
;;08/07/2025;;INSUM DE PRODUÇ;-650,3
;;08/07/2025;;;-2000
;;08/07/2025;;FOLHA DE PGTO;-1547,32
;;08/07/2025;;;45
;;08/07/2025;;;134,9
;;09/07/2025;;INSUM DE PRODUÇ;-250
;;09/07/2025;;;-5000
;;09/07/2025;;INSUM DE PRODUÇ;-162,24
;;09/07/2025;;INSUM DE PRODUÇ;-311,83
;;09/07/2025;;INSUM DE PRODUÇ;-339,48
;;09/07/2025;;INSUM DE PRODUÇ;-287,75
;;09/07/2025;;;1500
;;09/07/2025;;;2772
;;09/07/2025;;;4006,73
;;09/07/2025;;;7900
;;10/07/2025;;;2485,8
;;10/07/2025;;;324
;;10/07/2025;;;140
;;10/07/2025;;;165,9
;;10/07/2025;;;1100
;;10/07/2025;;PROLABORE;-5000
;;10/07/2025;;PROLABORE;-2000
;;10/07/2025;;;-300
;;10/07/2025;;FOLHA DE PGTO;-200
;;10/07/2025;;FOLHA DE PGTO;200
;;11/07/2025;;INSUM DE PRODUÇ;-176,2
;;11/07/2025;;FOLHA DE PGTO;-47
;;11/07/2025;;INSUM DE PRODUÇ;-508,13
;;11/07/2025;;INSUM DE PRODUÇ;-156,82
;;11/07/2025;;TAXAS DIVERSAS;-194,51
;;11/07/2025;;TAXAS DIVERSAS;-191,91
;;11/07/2025;;INSUM DE PRODUÇ;-210,32
;;11/07/2025;;CONTA ENERGIA;-55,44
;;11/07/2025;;INSUM DE PRODUÇ;-1236,96
;;11/07/2025;;INSUM DE PRODUÇ;-323,86
;;11/07/2025;;;270
;;11/07/2025;;;320
;;14/07/2025;;MANUT PREDIAL;-470
;;15/07/2025;;INSUM DE PRODUÇ;-212,1
;;15/07/2025;;INSUM DE PRODUÇ;-393,45
;;15/07/2025;;INSUM DE PRODUÇ;-431,47
;;15/07/2025;;FOLHA DE PGTO;-2689,43
;;15/07/2025;;INSUM DE PRODUÇ;-1800
;;15/07/2025;;PROLABORE;-5000
;;15/07/2025;;TAXAS DIVERSAS;-106,53
;;15/07/2025;;TAXAS DIVERSAS;-106,53
;;15/07/2025;;TAXAS DIVERSAS;-138,35
;;15/07/2025;;TEL E INTERNET;-179,21
;;15/07/2025;;TEL E INTERNET;-133,35
;;15/07/2025;;;50
;;15/07/2025;;;324
;;15/07/2025;;;396
;;16/07/2025;;COPA / LIMPEZA;-13,98
;;17/07/2025;;SEGUROS;-242,81
;;17/07/2025;;TAXAS DIVERSAS;106,53
;;17/07/2025;;TAXAS DIVERSAS;-140,43
;;17/07/2025;;TAXAS DIVERSAS;-144,63
;;17/07/2025;;TAXAS DIVERSAS;-148,69
