DescricaoExemplo;CodigoCorreto
Cli.: 0471 Pgto. do Boleto F903D818C6F44D35B440614FDFD24993 $2.540,00 Taxa: 2,90;504
Cli.: 0005 Pgto. do Boleto F3CD24DF6D5141C0B2E883AE5BC21264 $2.754,00 Taxa: 2,90;504
EMPRESTIMO 2 |0123 EMPRESTIMO - CAIXA;152
Ponta diamantada, hidroxido de calcio, escova, luva |0077 J.P MORGAN-DENTAL CREMER PRODUTO;506
luva, touca, mascara, vibrador de gesso, resina |0077 J.P MORGAN-DENTAL CREMER PRODUTOS OD;506
Consórcio - COTA 3792|0111 EMBRACON ADMINISTRADORA DE CONSORCIO LTDA;350
Consórcio- 1010|0111 EMBRACON ADMINISTRADORA DE CONSORCIO LTDA;350
BLOCO DE ZIRCÔNIA |0119 JOMON INDUSTRIA DE ARTEFATOS CERAMICOS LTDA;506
DOMINGOS ESPIRITO SANTO TANAJURA NETO;548
Sistema|0084 LABFÁCIL;531
Compras de insumos|0113 CARTÃO DE CRÉDITO - CAIXA;506
Opacificador para zircônia white dmax 30ml|0081 DENTAL GLOBO LTDA;506
SALA 01 - LABORATÓRIO |0128 IGUA SERGIPE S.A.;740
fresa cadcam 2,5 - 1,0 - 0,6 |0081 DENTAL GLOBO LTDA;506
automatic temperature checking |0088 IVOCLAR VIVADENT LTDA;506
 IVOCLAR VIVADENT LTDA;506
